LCD,PLD,Surface area (m2/g),Porosity,CO-Henry  (mol/kg/Pa),Halogen%,Ametal%,Metalloid,C,H,O,Metal,N,TDU,O to Metal ratio,electronegative atoms to total atoms ratio,0.1 bar-CO (mol/kg)
9.98598,8.78636,3144.95,0.7126,3.35069E-06,0.588235294,2.352941176,0,51.76470588,37.64705882,0,2.941176471,4.705882353,897,0,0.045878136,0.033235002
5.09322,4.44244,390.237,0.4068,1.50051E-06,0,0,0,44.51612903,32.90322581,15.48387097,4.516129032,2.580645161,1393,6.67826087,0.172639692,0.014739359
12.00094,11.06312,1061.95,0.6016,6.44317E-06,9.836065574,0,0,49.18032787,29.50819672,6.557377049,1.639344262,3.278688525,1009,7.111111111,0.196319018,0.062624677
5.6853,5.37606,1619.58,0.6052,5.81431E-06,0,0,0,47.61904762,9.523809524,38.0952381,4.761904762,0,649,14.76923077,0.362264151,0.057192881
6.30636,5.13016,1567.33,0.6202,6.18697E-06,0,0,0,47.61904762,9.523809524,38.0952381,4.761904762,0,649,14.76923077,0.362264151,0.06102837
5.82193,4.26368,729.385,0.50118,1.94977E-05,0,0,0,51.28205128,30.76923077,10.25641026,2.564102564,5.128205128,897,7.314285714,0.14964926,0.185405682
5.44423,4.05664,634.137,0.49082,1.97226E-05,0,0,0,51.28205128,30.76923077,10.25641026,2.564102564,5.128205128,897,7.314285714,0.14964926,0.186040196
5.78749,4.25745,712.146,0.50502,1.94051E-05,0,0,0,51.28205128,30.76923077,10.25641026,2.564102564,5.128205128,897,7.314285714,0.14964926,0.1836584
4.74057,3.91438,544.15,0.4952,3.09732E-06,0,0,0,43.07692308,43.07692308,0,1.538461538,12.30769231,897,0,0.121040189,0.030778891
5.76705,4.61254,815.894,0.5144,0.000003336,0,0,0,45.45454545,25,20.45454545,4.545454545,4.545454545,697,8.470588235,0.249291785,0.032890615
6.56282,6.27917,1553.7,0.6152,3.15819E-06,0,0,0,57.14285714,0,35.71428571,7.142857143,0,961,9.523809524,0.332225914,0.031292528
